unique_key,timestamp,primary_type,category,longitude,latitude
20142791191,2014-10-06 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.680413,30.36738
2014760454,2014-03-17 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.673993,30.376126
2014261512,2014-01-26 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.680198,30.363292
2014181179,2014-01-18 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.671538,30.367867
20141940863,2014-07-13 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.687084,30.357749
20143231808,2014-11-19 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.687084,30.357749
2014290916,2014-01-29 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.687084,30.357749
20143161304,2014-11-12 12:00:00.000000 UTC,Aggravated Assault,DEADLY CONDUCT,-97.678479,30.360861
20142361349,2014-08-24 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.676318,30.367509
20141402009,2014-05-20 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.681484,30.357114
20141850338,2014-07-04 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.682081,30.354524
201460606,2014-01-06 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT ENHANC STRANGL/SUFFOC,-97.679391,30.367927
20142571677,2014-09-15 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.685779,30.35864
20143091587,2014-11-05 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.685779,30.35864
20143451924,2014-12-11 12:00:00.000000 UTC,Homicide: Murder & Nonnegligent Manslaughter,MURDER,-97.68525,30.359502
20142030091,2014-07-22 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.68525,30.359502
2014840216,2014-03-25 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT FAM/DATE VIOLENCE,-97.68525,30.359502
20152410657,2015-08-29 12:00:00.000000 UTC,Rape,RAPE,,
201651949,2016-01-06 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
201661628,2016-01-07 12:00:00.000000 UTC,Rape,AGG SEXUAL ASSAULT CHILD/OBJEC,,
2016231391,2016-01-23 12:00:00.000000 UTC,Rape,RAPE,,
20161540208,2016-06-02 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT W/ OBJECT,,
20162290714,2016-08-16 12:00:00.000000 UTC,Rape,RAPE,,
20163301405,2016-11-25 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
20163360180,2016-12-01 12:00:00.000000 UTC,Rape,RAPE,,
20152260159,2015-08-14 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20153361866,2015-12-02 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20145029405,2014-07-03 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT WITH MOTOR VEH,,
20162030573,2016-07-21 12:00:00.000000 UTC,Murder,MURDER,,
20151731314,2015-06-22 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20162610184,2016-09-17 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20162650890,2016-09-21 12:00:00.000000 UTC,Agg Assault,DEADLY CONDUCT,,
2015191288,2015-01-19 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20163521579,2016-12-17 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20151031582,2015-04-13 12:00:00.000000 UTC,Agg Assault,AGG ASLT W/MOTOR VEH FAM/DAT V,,
20152451561,2015-09-02 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20151351725,2015-05-15 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT WITH MOTOR VEH,,
20151081379,2015-04-18 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20153090810,2015-11-05 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20152311916,2015-08-19 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20161050395,2016-04-14 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20163351876,2016-12-01 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20162560787,2016-09-12 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20162720458,2016-09-28 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20143601389,2014-12-26 12:00:00.000000 UTC,Rape,RAPE,-97.611102,30.157123
20145027410,2014-06-20 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,-97.611102,30.157123
2014931122,2014-04-03 12:00:00.000000 UTC,Rape,AGG RAPE OF A CHILD,-97.611102,30.157123
20142911917,2014-10-18 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,-97.637768,30.204947
20141520301,2014-06-01 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.634263,30.20647
20145032514,2014-07-24 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.636345,30.206358
20142120433,2014-07-31 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT W/MOTOR VEH FAM/DAT V,-97.616988,30.171124
2014460120,2014-02-15 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.614254,30.175602
20142561339,2014-09-14 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.609123,30.171847
20142200188,2014-08-08 12:00:00.000000 UTC,Aggravated Assault,AGG ASLT STRANGLE/SUFFOCATE,-97.616173,30.174407
20151431074,2015-05-23 12:00:00.000000 UTC,Rape,RAPE,,
20151990214,2015-07-18 12:00:00.000000 UTC,Rape,RAPE,,
20153431520,2015-12-09 12:00:00.000000 UTC,Rape,RAPE,,
2016551155,2016-02-24 12:00:00.000000 UTC,Rape,RAPE,,
20161071695,2016-04-16 12:00:00.000000 UTC,Rape,RAPE OF A CHILD,,
20165032683,2016-04-16 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT OF CHILD/OBJECT,,
20162090200,2016-07-27 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT W/ OBJECT,,
20162940846,2016-10-20 12:00:00.000000 UTC,Rape,SEXUAL ASSAULT W/ OBJECT,,
2016511517,2016-02-20 12:00:00.000000 UTC,Agg Assault,DEADLY CONDUCT,,
2016171378,2016-01-17 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20153460266,2015-12-12 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20165039978,2016-09-27 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20152550393,2015-09-12 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT FAM/DATE VIOLENCE,,
20163250689,2016-11-20 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20151671891,2015-06-16 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20151980356,2015-07-17 12:00:00.000000 UTC,Murder,MURDER,,
20152140465,2015-08-02 12:00:00.000000 UTC,Agg Assault,DEADLY CONDUCT,,
20162550373,2016-09-11 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20152330868,2015-08-21 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20162611479,2016-09-17 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
20163101258,2016-11-05 12:00:00.000000 UTC,Agg Assault,AGG ASLT STRANGLE/SUFFOCATE,,
20161840236,2016-07-02 12:00:00.000000 UTC,Agg Assault,AGG ASSAULT,,
2014170246,2014-01-17 12:00:00.000000 UTC,Aggravated Assault,AGG ASSAULT,,
2014820420,2014-03-23 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
20142640601,2014-09-21 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
2014691773,2014-03-10 12:00:00.000000 UTC,Rape,RAPE,-97.737978,30.292467
